ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1716000600.000100,C01TRAILS,U01HOST,"Saturday meetup is on - Alum Creek lower lot, 6:30 AM. Bring hydration.",,4,[]
1716001200.000200,C01TRAILS,U02ORG,In. I will bring extra gels.,1716000600.000100,0,[]
1716002400.000300,C01TRAILS,U05RUN,Forecast looks 62 degrees and dry. Perfect.,1716000600.000100,0,[]
1716086400.000100,C01PACE,U02ORG,Hit a 7:42 mile this morning. Anyone else getting faster off Yasso 800s?,,2,[]
1716087000.000200,C01PACE,U05RUN,Yes - swap one easy run a week for Yassos. Game changer.,1716086400.000100,0,[]
1716172800.000100,C01GEAR,U03RUN,"Hoka Bondi 8 vs Brooks Glycerin 21 - thoughts? My knees say cushion, my shoes say no.",,5,[]
1716173400.000200,C01GEAR,U04RUN,Bondi 8 every time for road miles over 5. Glycerin is the trail call.,1716172800.000100,0,[]
1716260400.000100,C01TRAILS,U01HOST,Sunday wildcard - Highbanks 7 AM. Anyone interested?,,3,[]
1716346800.000100,C01PACE,U06RUN,First sub-9 long run today. Quietly losing my mind.,,6,[]
1716350400.000200,C01PACE,U01AKAM,yes!! that is the breakthrough you do not announce because you do not want to jinx it.,1716346800.000100,0,[]
